date,facilities,dose,n,tier,maker,date.stated
2021-04-01,2516,2,31217,IRYO,pfizer,NA
2021-04-02,2567,2,26560,IRYO,pfizer,NA
2021-04-05,2764,2,56889,IRYO,pfizer,NA
2021-04-06,2934,2,52262,IRYO,pfizer,NA
2021-04-07,3092,2,64171,IRYO,pfizer,NA
2021-04-08,3179,2,64542,IRYO,pfizer,NA
2021-04-09,3255,2,69598,IRYO,pfizer,NA
2021-07-09,NA,1,31738,IRYO,pfizer,2021-07-12
2021-07-08,NA,1,34199,IRYO,pfizer,2021-07-12
2021-07-07,NA,1,28661,IRYO,pfizer,2021-07-12
2021-07-06,NA,1,45037,IRYO,pfizer,2021-07-12
2021-07-05,NA,1,57890,IRYO,pfizer,2021-07-12
2021-07-02,NA,1,25406,IRYO,pfizer,2021-07-12
2021-07-01,NA,1,36346,IRYO,pfizer,2021-07-12
2021-06-30,NA,1,30313,IRYO,pfizer,2021-07-12
2021-06-29,NA,1,36069,IRYO,pfizer,2021-07-12
2021-06-28,NA,1,71303,IRYO,pfizer,2021-07-12
2021-06-25,NA,1,47766,IRYO,pfizer,2021-07-12
2021-06-24,NA,1,43798,IRYO,pfizer,2021-07-12
2021-06-23,NA,1,46971,IRYO,pfizer,2021-07-12
2021-06-22,NA,1,44473,IRYO,pfizer,2021-07-12
2021-06-21,NA,1,67154,IRYO,pfizer,2021-07-12
2021-06-18,NA,1,50112,IRYO,pfizer,2021-07-12
2021-06-17,NA,1,46926,IRYO,pfizer,2021-07-12
2021-06-16,NA,1,43912,IRYO,pfizer,2021-07-12
2021-06-15,NA,1,40459,IRYO,pfizer,2021-07-12
2021-06-14,NA,1,85819,IRYO,pfizer,2021-07-12
2021-06-11,NA,1,54834,IRYO,pfizer,2021-07-12
2021-06-10,NA,1,52250,IRYO,pfizer,2021-07-12
2021-06-09,NA,1,67694,IRYO,pfizer,2021-07-12
2021-06-08,NA,1,71689,IRYO,pfizer,2021-07-12
2021-06-07,NA,1,104435,IRYO,pfizer,2021-07-12
2021-06-04,NA,1,62634,IRYO,pfizer,2021-07-12
2021-06-03,NA,1,59654,IRYO,pfizer,2021-07-12
2021-06-02,NA,1,71140,IRYO,pfizer,2021-07-12
2021-06-01,NA,1,66264,IRYO,pfizer,2021-07-12
2021-05-31,NA,1,131423,IRYO,pfizer,2021-07-12
2021-05-28,NA,1,87584,IRYO,pfizer,2021-07-12
2021-05-27,NA,1,84217,IRYO,pfizer,2021-07-12
2021-05-26,NA,1,93243,IRYO,pfizer,2021-07-12
2021-05-25,NA,1,87114,IRYO,pfizer,2021-07-12
2021-05-24,NA,1,136491,IRYO,pfizer,2021-07-12
2021-05-21,NA,1,99918,IRYO,pfizer,2021-07-12
2021-05-20,NA,1,81422,IRYO,pfizer,2021-07-12
2021-05-19,NA,1,88163,IRYO,pfizer,2021-07-12
2021-05-18,NA,1,94577,IRYO,pfizer,2021-07-12
2021-05-17,NA,1,133843,IRYO,pfizer,2021-07-12
2021-05-14,NA,1,99493,IRYO,pfizer,2021-07-12
2021-05-13,NA,1,93429,IRYO,pfizer,2021-07-12
2021-05-12,NA,1,82959,IRYO,pfizer,2021-07-12
2021-05-11,NA,1,90287,IRYO,pfizer,2021-07-12
2021-05-10,NA,1,155255,IRYO,pfizer,2021-07-12
2021-05-07,NA,1,97165,IRYO,pfizer,2021-07-12
2021-05-06,NA,1,268978,IRYO,pfizer,2021-07-12
2021-04-30,NA,1,227667,IRYO,pfizer,2021-07-12
2021-04-28,NA,1,194005,IRYO,pfizer,2021-07-12
2021-04-27,NA,1,172069,IRYO,pfizer,2021-07-12
2021-04-26,NA,1,221677,IRYO,pfizer,2021-07-12
2021-04-23,NA,1,147989,IRYO,pfizer,2021-07-12
2021-04-22,NA,1,128634,IRYO,pfizer,2021-07-12
2021-04-21,NA,1,126188,IRYO,pfizer,2021-07-12
2021-04-20,NA,1,98622,IRYO,pfizer,2021-07-12
2021-04-19,NA,1,64725,IRYO,pfizer,2021-07-12
2021-04-16,NA,1,29696,IRYO,pfizer,2021-07-12
2021-04-15,NA,1,16637,IRYO,pfizer,2021-07-12
2021-04-14,NA,1,9569,IRYO,pfizer,2021-07-12
2021-04-13,NA,1,13896,IRYO,pfizer,2021-07-12
2021-04-12,NA,1,26850,IRYO,pfizer,2021-07-12
2021-07-09,NA,1,221,IRYO,moderna,2021-07-12
2021-07-08,NA,1,2537,IRYO,moderna,2021-07-12
2021-07-07,NA,1,2304,IRYO,moderna,2021-07-12
2021-07-06,NA,1,1554,IRYO,moderna,2021-07-12
2021-07-05,NA,1,5788,IRYO,moderna,2021-07-12
2021-07-02,NA,1,978,IRYO,moderna,2021-07-12
2021-07-01,NA,1,589,IRYO,moderna,2021-07-12
2021-06-30,NA,1,1788,IRYO,moderna,2021-07-12
2021-06-29,NA,1,3367,IRYO,moderna,2021-07-12
2021-06-28,NA,1,7806,IRYO,moderna,2021-07-12
2021-06-25,NA,1,5529,IRYO,moderna,2021-07-12
2021-06-24,NA,1,1584,IRYO,moderna,2021-07-12
2021-06-23,NA,1,4683,IRYO,moderna,2021-07-12
2021-06-22,NA,1,1946,IRYO,moderna,2021-07-12
2021-06-21,NA,1,7843,IRYO,moderna,2021-07-12
2021-06-18,NA,1,2145,IRYO,moderna,2021-07-12
2021-06-17,NA,1,4611,IRYO,moderna,2021-07-12
2021-06-16,NA,1,2782,IRYO,moderna,2021-07-12
2021-06-15,NA,1,2956,IRYO,moderna,2021-07-12
2021-06-14,NA,1,5610,IRYO,moderna,2021-07-12
2021-06-11,NA,1,1669,IRYO,moderna,2021-07-12
2021-06-10,NA,1,1719,IRYO,moderna,2021-07-12
2021-06-09,NA,1,1047,IRYO,moderna,2021-07-12
2021-06-08,NA,1,990,IRYO,moderna,2021-07-12
2021-06-07,NA,1,2146,IRYO,moderna,2021-07-12
2021-06-04,NA,1,929,IRYO,moderna,2021-07-12
2021-06-03,NA,1,112,IRYO,moderna,2021-07-12
2021-06-02,NA,1,316,IRYO,moderna,2021-07-12
2021-06-01,NA,1,123,IRYO,moderna,2021-07-12
2021-05-31,NA,1,582,IRYO,moderna,2021-07-12
2021-05-28,NA,1,157,IRYO,moderna,2021-07-12
2021-05-27,NA,1,40,IRYO,moderna,2021-07-12
2021-05-26,NA,1,172,IRYO,moderna,2021-07-12
2021-05-25,NA,1,476,IRYO,moderna,2021-07-12
2021-05-24,NA,1,269,IRYO,moderna,2021-07-12
2021-05-21,NA,1,0,IRYO,moderna,2021-07-12
2021-05-20,NA,1,0,IRYO,moderna,2021-07-12
2021-05-19,NA,1,0,IRYO,moderna,2021-07-12
2021-05-18,NA,1,0,IRYO,moderna,2021-07-12
2021-05-17,NA,1,0,IRYO,moderna,2021-07-12
2021-05-14,NA,1,0,IRYO,moderna,2021-07-12
2021-05-13,NA,1,0,IRYO,moderna,2021-07-12
2021-05-12,NA,1,0,IRYO,moderna,2021-07-12
2021-05-11,NA,1,0,IRYO,moderna,2021-07-12
2021-05-10,NA,1,0,IRYO,moderna,2021-07-12
2021-05-07,NA,1,0,IRYO,moderna,2021-07-12
2021-05-06,NA,1,0,IRYO,moderna,2021-07-12
2021-04-30,NA,1,0,IRYO,moderna,2021-07-12
2021-04-28,NA,1,0,IRYO,moderna,2021-07-12
2021-04-27,NA,1,0,IRYO,moderna,2021-07-12
2021-04-26,NA,1,0,IRYO,moderna,2021-07-12
2021-04-23,NA,1,0,IRYO,moderna,2021-07-12
2021-04-22,NA,1,0,IRYO,moderna,2021-07-12
2021-04-21,NA,1,0,IRYO,moderna,2021-07-12
2021-04-20,NA,1,0,IRYO,moderna,2021-07-12
2021-04-19,NA,1,0,IRYO,moderna,2021-07-12
2021-04-16,NA,1,0,IRYO,moderna,2021-07-12
2021-04-15,NA,1,0,IRYO,moderna,2021-07-12
2021-04-14,NA,1,0,IRYO,moderna,2021-07-12
2021-04-13,NA,1,0,IRYO,moderna,2021-07-12
2021-04-12,NA,1,0,IRYO,moderna,2021-07-12
2021-07-09,NA,2,44589,IRYO,pfizer,2021-07-12
2021-07-08,NA,2,44991,IRYO,pfizer,2021-07-12
2021-07-07,NA,2,44525,IRYO,pfizer,2021-07-12
2021-07-06,NA,2,52475,IRYO,pfizer,2021-07-12
2021-07-05,NA,2,79320,IRYO,pfizer,2021-07-12
2021-07-02,NA,2,55293,IRYO,pfizer,2021-07-12
2021-07-01,NA,2,57754,IRYO,pfizer,2021-07-12
2021-06-30,NA,2,46697,IRYO,pfizer,2021-07-12
2021-06-29,NA,2,53790,IRYO,pfizer,2021-07-12
2021-06-28,NA,2,80018,IRYO,pfizer,2021-07-12
2021-06-25,NA,2,74926,IRYO,pfizer,2021-07-12
2021-06-24,NA,2,63930,IRYO,pfizer,2021-07-12
2021-06-23,NA,2,59733,IRYO,pfizer,2021-07-12
2021-06-22,NA,2,47609,IRYO,pfizer,2021-07-12
2021-06-21,NA,2,123679,IRYO,pfizer,2021-07-12
2021-06-18,NA,2,73691,IRYO,pfizer,2021-07-12
2021-06-17,NA,2,77793,IRYO,pfizer,2021-07-12
2021-06-16,NA,2,72041,IRYO,pfizer,2021-07-12
2021-06-15,NA,2,71948,IRYO,pfizer,2021-07-12
2021-06-14,NA,2,123536,IRYO,pfizer,2021-07-12
2021-06-11,NA,2,91480,IRYO,pfizer,2021-07-12
2021-06-10,NA,2,82622,IRYO,pfizer,2021-07-12
2021-06-09,NA,2,98643,IRYO,pfizer,2021-07-12
2021-06-08,NA,2,89243,IRYO,pfizer,2021-07-12
2021-06-07,NA,2,132756,IRYO,pfizer,2021-07-12
2021-06-04,NA,2,95640,IRYO,pfizer,2021-07-12
2021-06-03,NA,2,83391,IRYO,pfizer,2021-07-12
2021-06-02,NA,2,87670,IRYO,pfizer,2021-07-12
2021-06-01,NA,2,92670,IRYO,pfizer,2021-07-12
2021-05-31,NA,2,141250,IRYO,pfizer,2021-07-12
2021-05-28,NA,2,76775,IRYO,pfizer,2021-07-12
2021-05-27,NA,2,60892,IRYO,pfizer,2021-07-12
2021-05-26,NA,2,49174,IRYO,pfizer,2021-07-12
2021-05-25,NA,2,52062,IRYO,pfizer,2021-07-12
2021-05-24,NA,2,193829,IRYO,pfizer,2021-07-12
2021-05-21,NA,2,149103,IRYO,pfizer,2021-07-12
2021-05-20,NA,2,109111,IRYO,pfizer,2021-07-12
2021-05-19,NA,2,179703,IRYO,pfizer,2021-07-12
2021-05-18,NA,2,155667,IRYO,pfizer,2021-07-12
2021-05-17,NA,2,215723,IRYO,pfizer,2021-07-12
2021-05-14,NA,2,143385,IRYO,pfizer,2021-07-12
2021-05-13,NA,2,125710,IRYO,pfizer,2021-07-12
2021-05-12,NA,2,98761,IRYO,pfizer,2021-07-12
2021-05-11,NA,2,78451,IRYO,pfizer,2021-07-12
2021-05-10,NA,2,68249,IRYO,pfizer,2021-07-12
2021-05-07,NA,2,43179,IRYO,pfizer,2021-07-12
2021-05-06,NA,2,62936,IRYO,pfizer,2021-07-12
2021-04-30,NA,2,47240,IRYO,pfizer,2021-07-12
2021-04-28,NA,2,44268,IRYO,pfizer,2021-07-12
2021-04-27,NA,2,31105,IRYO,pfizer,2021-07-12
2021-04-26,NA,2,41651,IRYO,pfizer,2021-07-12
2021-04-23,NA,2,29683,IRYO,pfizer,2021-07-12
2021-04-22,NA,2,21855,IRYO,pfizer,2021-07-12
2021-04-21,NA,2,26696,IRYO,pfizer,2021-07-12
2021-04-20,NA,2,27797,IRYO,pfizer,2021-07-12
2021-04-19,NA,2,54307,IRYO,pfizer,2021-07-12
2021-04-16,NA,2,39991,IRYO,pfizer,2021-07-12
2021-04-15,NA,2,35983,IRYO,pfizer,2021-07-12
2021-04-14,NA,2,41427,IRYO,pfizer,2021-07-12
2021-04-13,NA,2,40090,IRYO,pfizer,2021-07-12
2021-04-12,NA,2,70086,IRYO,pfizer,2021-07-12
2021-07-09,NA,2,1764,IRYO,moderna,2021-07-12
2021-07-08,NA,2,1613,IRYO,moderna,2021-07-12
2021-07-07,NA,2,1163,IRYO,moderna,2021-07-12
2021-07-06,NA,2,699,IRYO,moderna,2021-07-12
2021-07-05,NA,2,2091,IRYO,moderna,2021-07-12
2021-07-02,NA,2,147,IRYO,moderna,2021-07-12
2021-07-01,NA,2,108,IRYO,moderna,2021-07-12
2021-06-30,NA,2,381,IRYO,moderna,2021-07-12
2021-06-29,NA,2,1255,IRYO,moderna,2021-07-12
2021-06-28,NA,2,528,IRYO,moderna,2021-07-12
2021-06-25,NA,2,134,IRYO,moderna,2021-07-12
2021-06-24,NA,2,109,IRYO,moderna,2021-07-12
2021-06-23,NA,2,99,IRYO,moderna,2021-07-12
2021-06-22,NA,2,107,IRYO,moderna,2021-07-12
2021-06-21,NA,2,104,IRYO,moderna,2021-07-12
2021-06-18,NA,2,0,IRYO,moderna,2021-07-12
2021-06-17,NA,2,0,IRYO,moderna,2021-07-12
2021-06-16,NA,2,0,IRYO,moderna,2021-07-12
2021-06-15,NA,2,0,IRYO,moderna,2021-07-12
2021-06-14,NA,2,0,IRYO,moderna,2021-07-12
2021-06-11,NA,2,0,IRYO,moderna,2021-07-12
2021-06-10,NA,2,0,IRYO,moderna,2021-07-12
2021-06-09,NA,2,0,IRYO,moderna,2021-07-12
2021-06-08,NA,2,0,IRYO,moderna,2021-07-12
2021-06-07,NA,2,0,IRYO,moderna,2021-07-12
2021-06-04,NA,2,0,IRYO,moderna,2021-07-12
2021-06-03,NA,2,0,IRYO,moderna,2021-07-12
2021-06-02,NA,2,0,IRYO,moderna,2021-07-12
2021-06-01,NA,2,0,IRYO,moderna,2021-07-12
2021-05-31,NA,2,0,IRYO,moderna,2021-07-12
2021-05-28,NA,2,0,IRYO,moderna,2021-07-12
2021-05-27,NA,2,0,IRYO,moderna,2021-07-12
2021-05-26,NA,2,0,IRYO,moderna,2021-07-12
2021-05-25,NA,2,0,IRYO,moderna,2021-07-12
2021-05-24,NA,2,0,IRYO,moderna,2021-07-12
2021-05-21,NA,2,0,IRYO,moderna,2021-07-12
2021-05-20,NA,2,0,IRYO,moderna,2021-07-12
2021-05-19,NA,2,0,IRYO,moderna,2021-07-12
2021-05-18,NA,2,0,IRYO,moderna,2021-07-12
2021-05-17,NA,2,0,IRYO,moderna,2021-07-12
2021-05-14,NA,2,0,IRYO,moderna,2021-07-12
2021-05-13,NA,2,0,IRYO,moderna,2021-07-12
2021-05-12,NA,2,0,IRYO,moderna,2021-07-12
2021-05-11,NA,2,0,IRYO,moderna,2021-07-12
2021-05-10,NA,2,0,IRYO,moderna,2021-07-12
2021-05-07,NA,2,0,IRYO,moderna,2021-07-12
2021-05-06,NA,2,0,IRYO,moderna,2021-07-12
2021-04-30,NA,2,0,IRYO,moderna,2021-07-12
2021-04-28,NA,2,0,IRYO,moderna,2021-07-12
2021-04-27,NA,2,0,IRYO,moderna,2021-07-12
2021-04-26,NA,2,0,IRYO,moderna,2021-07-12
2021-04-23,NA,2,0,IRYO,moderna,2021-07-12
2021-04-22,NA,2,0,IRYO,moderna,2021-07-12
2021-04-21,NA,2,0,IRYO,moderna,2021-07-12
2021-04-20,NA,2,0,IRYO,moderna,2021-07-12
2021-04-19,NA,2,0,IRYO,moderna,2021-07-12
2021-04-16,NA,2,0,IRYO,moderna,2021-07-12
2021-04-15,NA,2,0,IRYO,moderna,2021-07-12
2021-04-14,NA,2,0,IRYO,moderna,2021-07-12
2021-04-13,NA,2,0,IRYO,moderna,2021-07-12
2021-04-12,NA,2,0,IRYO,moderna,2021-07-12
2021-07-11,NA,1,92347,KOREI,pfizer,2021-07-12
2021-07-10,NA,1,193641,KOREI,pfizer,2021-07-12
2021-07-09,NA,1,241419,KOREI,pfizer,2021-07-12
2021-07-08,NA,1,317985,KOREI,pfizer,2021-07-12
2021-07-07,NA,1,368978,KOREI,pfizer,2021-07-12
2021-07-06,NA,1,373042,KOREI,pfizer,2021-07-12
2021-07-05,NA,1,377454,KOREI,pfizer,2021-07-12
2021-07-04,NA,1,407257,KOREI,pfizer,2021-07-12
2021-07-03,NA,1,413355,KOREI,pfizer,2021-07-12
2021-07-02,NA,1,213924,KOREI,pfizer,2021-07-12
2021-07-01,NA,1,279094,KOREI,pfizer,2021-07-12
2021-06-30,NA,1,446038,KOREI,pfizer,2021-07-12
2021-06-29,NA,1,442564,KOREI,pfizer,2021-07-12
2021-06-28,NA,1,422495,KOREI,pfizer,2021-07-12
2021-06-27,NA,1,515353,KOREI,pfizer,2021-07-12
2021-06-26,NA,1,492044,KOREI,pfizer,2021-07-12
2021-06-25,NA,1,457917,KOREI,pfizer,2021-07-12
2021-06-24,NA,1,496842,KOREI,pfizer,2021-07-12
2021-06-23,NA,1,516789,KOREI,pfizer,2021-07-12
2021-06-22,NA,1,519490,KOREI,pfizer,2021-07-12
2021-06-21,NA,1,511870,KOREI,pfizer,2021-07-12
2021-06-20,NA,1,531771,KOREI,pfizer,2021-07-12
2021-06-19,NA,1,535383,KOREI,pfizer,2021-07-12
2021-06-18,NA,1,506252,KOREI,pfizer,2021-07-12
2021-06-17,NA,1,533977,KOREI,pfizer,2021-07-12
2021-06-16,NA,1,529399,KOREI,pfizer,2021-07-12
2021-06-15,NA,1,551299,KOREI,pfizer,2021-07-12
2021-06-14,NA,1,511702,KOREI,pfizer,2021-07-12
2021-06-13,NA,1,516924,KOREI,pfizer,2021-07-12
2021-06-12,NA,1,568960,KOREI,pfizer,2021-07-12
2021-06-11,NA,1,601474,KOREI,pfizer,2021-07-12
2021-06-10,NA,1,600846,KOREI,pfizer,2021-07-12
2021-06-09,NA,1,615695,KOREI,pfizer,2021-07-12
2021-06-08,NA,1,632011,KOREI,pfizer,2021-07-12
2021-06-07,NA,1,583094,KOREI,pfizer,2021-07-12
2021-06-06,NA,1,507689,KOREI,pfizer,2021-07-12
2021-06-05,NA,1,553878,KOREI,pfizer,2021-07-12
2021-06-04,NA,1,580533,KOREI,pfizer,2021-07-12
2021-06-03,NA,1,599519,KOREI,pfizer,2021-07-12
2021-06-02,NA,1,596100,KOREI,pfizer,2021-07-12
2021-06-01,NA,1,577318,KOREI,pfizer,2021-07-12
2021-05-31,NA,1,483417,KOREI,pfizer,2021-07-12
2021-05-30,NA,1,425408,KOREI,pfizer,2021-07-12
2021-05-29,NA,1,428624,KOREI,pfizer,2021-07-12
2021-05-28,NA,1,473958,KOREI,pfizer,2021-07-12
2021-05-27,NA,1,500368,KOREI,pfizer,2021-07-12
2021-05-26,NA,1,518468,KOREI,pfizer,2021-07-12
2021-05-25,NA,1,465936,KOREI,pfizer,2021-07-12
2021-05-24,NA,1,404084,KOREI,pfizer,2021-07-12
2021-05-23,NA,1,311111,KOREI,pfizer,2021-07-12
2021-05-22,NA,1,263895,KOREI,pfizer,2021-07-12
2021-05-21,NA,1,248156,KOREI,pfizer,2021-07-12
2021-05-20,NA,1,288039,KOREI,pfizer,2021-07-12
2021-05-19,NA,1,277595,KOREI,pfizer,2021-07-12
2021-05-18,NA,1,226550,KOREI,pfizer,2021-07-12
2021-05-17,NA,1,188841,KOREI,pfizer,2021-07-12
2021-05-16,NA,1,177793,KOREI,pfizer,2021-07-12
2021-05-15,NA,1,123688,KOREI,pfizer,2021-07-12
2021-05-14,NA,1,111656,KOREI,pfizer,2021-07-12
2021-05-13,NA,1,133402,KOREI,pfizer,2021-07-12
2021-05-12,NA,1,136277,KOREI,pfizer,2021-07-12
2021-05-11,NA,1,106535,KOREI,pfizer,2021-07-12
2021-05-10,NA,1,84231,KOREI,pfizer,2021-07-12
2021-05-09,NA,1,66127,KOREI,pfizer,2021-07-12
2021-05-08,NA,1,48728,KOREI,pfizer,2021-07-12
2021-05-07,NA,1,31342,KOREI,pfizer,2021-07-12
2021-05-06,NA,1,32814,KOREI,pfizer,2021-07-12
2021-05-05,NA,1,8150,KOREI,pfizer,2021-07-12
2021-05-04,NA,1,6620,KOREI,pfizer,2021-07-12
2021-05-03,NA,1,5744,KOREI,pfizer,2021-07-12
2021-05-02,NA,1,20247,KOREI,pfizer,2021-07-12
2021-05-01,NA,1,22569,KOREI,pfizer,2021-07-12
2021-04-30,NA,1,26568,KOREI,pfizer,2021-07-12
2021-04-29,NA,1,12790,KOREI,pfizer,2021-07-12
2021-04-28,NA,1,36112,KOREI,pfizer,2021-07-12
2021-04-27,NA,1,36866,KOREI,pfizer,2021-07-12
2021-04-26,NA,1,27266,KOREI,pfizer,2021-07-12
2021-04-25,NA,1,15296,KOREI,pfizer,2021-07-12
2021-04-24,NA,1,15615,KOREI,pfizer,2021-07-12
2021-04-23,NA,1,18101,KOREI,pfizer,2021-07-12
2021-04-22,NA,1,24480,KOREI,pfizer,2021-07-12
2021-04-21,NA,1,25959,KOREI,pfizer,2021-07-12
2021-04-20,NA,1,21891,KOREI,pfizer,2021-07-12
2021-04-19,NA,1,13951,KOREI,pfizer,2021-07-12
2021-04-18,NA,1,5645,KOREI,pfizer,2021-07-12
2021-04-17,NA,1,3695,KOREI,pfizer,2021-07-12
2021-04-16,NA,1,3408,KOREI,pfizer,2021-07-12
2021-04-15,NA,1,4295,KOREI,pfizer,2021-07-12
2021-04-14,NA,1,3124,KOREI,pfizer,2021-07-12
2021-04-13,NA,1,2883,KOREI,pfizer,2021-07-12
2021-04-12,NA,1,3455,KOREI,pfizer,2021-07-12
2021-07-11,NA,1,823,KOREI,moderna,2021-07-12
2021-07-10,NA,1,995,KOREI,moderna,2021-07-12
2021-07-09,NA,1,583,KOREI,moderna,2021-07-12
2021-07-08,NA,1,882,KOREI,moderna,2021-07-12
2021-07-07,NA,1,1001,KOREI,moderna,2021-07-12
2021-07-06,NA,1,813,KOREI,moderna,2021-07-12
2021-07-05,NA,1,2487,KOREI,moderna,2021-07-12
2021-07-04,NA,1,4092,KOREI,moderna,2021-07-12
2021-07-03,NA,1,9185,KOREI,moderna,2021-07-12
2021-07-02,NA,1,7153,KOREI,moderna,2021-07-12
2021-07-01,NA,1,7255,KOREI,moderna,2021-07-12
2021-06-30,NA,1,10706,KOREI,moderna,2021-07-12
2021-06-29,NA,1,10521,KOREI,moderna,2021-07-12
2021-06-28,NA,1,12067,KOREI,moderna,2021-07-12
2021-06-27,NA,1,14864,KOREI,moderna,2021-07-12
2021-06-26,NA,1,18404,KOREI,moderna,2021-07-12
2021-06-25,NA,1,13971,KOREI,moderna,2021-07-12
2021-06-24,NA,1,14127,KOREI,moderna,2021-07-12
2021-06-23,NA,1,14737,KOREI,moderna,2021-07-12
2021-06-22,NA,1,17856,KOREI,moderna,2021-07-12
2021-06-21,NA,1,18249,KOREI,moderna,2021-07-12
2021-06-20,NA,1,23077,KOREI,moderna,2021-07-12
2021-06-19,NA,1,24328,KOREI,moderna,2021-07-12
2021-06-18,NA,1,19669,KOREI,moderna,2021-07-12
2021-06-17,NA,1,24071,KOREI,moderna,2021-07-12
2021-06-16,NA,1,25579,KOREI,moderna,2021-07-12
2021-06-15,NA,1,26032,KOREI,moderna,2021-07-12
2021-06-14,NA,1,26865,KOREI,moderna,2021-07-12
2021-06-13,NA,1,30590,KOREI,moderna,2021-07-12
2021-06-12,NA,1,30198,KOREI,moderna,2021-07-12
2021-06-11,NA,1,26618,KOREI,moderna,2021-07-12
2021-06-10,NA,1,26599,KOREI,moderna,2021-07-12
2021-06-09,NA,1,25142,KOREI,moderna,2021-07-12
2021-06-08,NA,1,27296,KOREI,moderna,2021-07-12
2021-06-07,NA,1,27104,KOREI,moderna,2021-07-12
2021-06-06,NA,1,21414,KOREI,moderna,2021-07-12
2021-06-05,NA,1,18744,KOREI,moderna,2021-07-12
2021-06-04,NA,1,18678,KOREI,moderna,2021-07-12
2021-06-03,NA,1,18706,KOREI,moderna,2021-07-12
2021-06-02,NA,1,18336,KOREI,moderna,2021-07-12
2021-06-01,NA,1,18003,KOREI,moderna,2021-07-12
2021-05-31,NA,1,17057,KOREI,moderna,2021-07-12
2021-05-30,NA,1,15015,KOREI,moderna,2021-07-12
2021-05-29,NA,1,14563,KOREI,moderna,2021-07-12
2021-05-28,NA,1,13383,KOREI,moderna,2021-07-12
2021-05-27,NA,1,11681,KOREI,moderna,2021-07-12
